Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Senior Data Scientist,Brinks Home Security,TX,Dallas,81260,101976,"Brinks Home Security™ is a proven leader in the smart home technology and residential security industries, providing cutting-edge products and alarm monitoring services to more than one million customers throughout North America. We are currently seeking a motivated and dynamic Senior Data Scientist.

Our brand promise delivers on 4 core principles:


Integrity in Action: Be True, Be Responsive, Be Accountable
Sense of Urgency: Every Moment Matters
Relentless Discipline: Rigor, Precision and Excellence in Every Single Action
Results Matter: Account to Customers, Employees & Stakeholders

Join our team of trusted security advisors and providers and help us create more secure smart home customers.

Summary:

Brinks Home Security’s Business Intelligence team is rapidly growing and is seeking a Senior Data Scientist to advise on and implement machine learning models to improve customer acquisition and customer retention efforts across the organization.

Essential Duties and Responsibilities: 

Develop, implement and evaluate machine learning and optimization models across multiple platforms to create actionable insights from complex data sets.
Work closely with data engineers to deploy models and systematically track model and data performance.
Understand and clearly communicate model performance to leadership team by translating the complex into the concise and clear
Collaborate with Operations, Marketing, Sales, and IT to utilize model findings to build and test programs that improve customer acquisition and retention efforts

Requirements:

Advanced degree in a quantitative discipline such as Computer Science, Engineering, Applied Mathematics, Statistics, Econometrics or Undergraduate degree with significant, demonstrative experience in data science
4+ years of demonstrated/hands-on experience required for the following:



Machine Learning and statistical analysis (text mining, sentiment analysis, gradient boosting, random forest, regression, etc.)
Designing and running experiments and extracting insights
Visualization/Dashboarding tools (Experience with Tableau preferred)
Proficiency in Python and relevant libraries
Thorough understanding of SQL


2+ years experience working with cloud infrastructure (Azure, AWS, Google Cloud etc.)
Excellent communication skills and the ability to collaborate with leadership and other lines of the business


",Business Services,3.4,2020-04-30,2020-06-06,FULL_TIME
Machine Learning/Data Analyst,Applied Research Laboratories,TX,Austin,69500,80000,This company is in a hiring surge in response to COVID-19,Education,3.8,2020-05-01,2020-06-06,FULL_TIME
Insurance Data Analyst,"Applied Systems, Inc.",TX,Austin,31518,60395,"Indio, an insurance technology company, is currently searching for a knowledgeable and talented Insurance Data Analyst. Indio has a vast library of over 10,000 different insurance forms spanning hundreds of thousands of unique questions. As the first company to digitize the majority of insurance applications, we're now working on creating a new data standard for the insurance industry. We are looking for a talented individual who will work on defining this insurance data architecture. You'll also be working with our operations team to ensure their form digitization processes result in high quality data mappings fit to our standards. The standards you help define will be used for our upcoming carrier submission API that will be used by many of the top carriers to receive submissions from agents. This is a chance to be a part of a critical revolution in the insurance industry as we help agents and underwriters move from email and PDF to fully API-driven digital submissions. RESPONSIBILITIESQuality assurance and management of thousands of fields within the Indio forms libraryDefining and maintaining the Indio data standard of most common insurance fields for each line of businessAnalyze and create processes around building insurance data objects in the Indio platformProvide analysis and feedback to operations team on quality of form and digitizationWorking with product and engineering teams to define and improve feature set of our internal data toolsReporting bugs and data discrepancies and working with engineers to resolve issuesPulling data and reports for product team members to help us better analyze our data setParticipate in data modeling discussions to support the product visionQUALIFICATIONS FOR THIS JOB2 – 3 years commercial insurance experience; preferably in an operations, analyst or IT roleAbility to analyze and understand commercial insurance applicationsExcellent analytical and organizational skillsBasic SQL and/or BI query knowledge and experience analyzing complex data setsKnowledge of coverages and ability to explain clearly and concisely coverage definitions and application of those coveragesFamiliarity with ACORD forms and their uses WHO WE AREIndio is modernizing the business insurance industry, making the insurance application and renewal process fast, easy, and error free. Indio’s application solves a traditionally broken process in the insurance industry by digitizing the client risk capture and application experience, making it more collaborative, simpler and error-free. The Indio team has years of experience in traditional insurance, software engineering, and modern design, and is driven by a passion to transform an industry. Owned by the industry’s leading software company, Applied Systems, our staff has access to resources, expertise, and global scale to grow their career and change an industry.  ",Information Technology,4.1,2020-05-05,2020-06-06,FULL_TIME
"Scientist II, Cell & Tissue Reference Laboratory",BioBridge Global,TX,San Antonio,41822,91420,"Our organization is unique in that we are a nonprofit community resource that saves lives by working with volunteer donors to provide the highest quality blood & tissue components to patients. By using cutting-edge technology, our team of dedicated professionals has helped save hundreds of thousands of lives for more than 35 years. Over 200,000 components of life-saving blood and tissue from volunteers throughout South Texas are collected and tested each year. We are internationally recognized for the quality of our services and research. Donors are essential because patients are in constant need of blood. blood components, and/or tissue. It's about life! Share our excitement and join our team!

QualTex Laboratories , a subsidiary of BioBridge Global, is one of the largest independent non-profit testing laboratories in the United States for blood and plasma products. QualTex Laboratories is dedicated to supporting global public safety with the timely delivery of high-quality testing services for patients, donors and regulated biological products.

Job Title: Scientist II, Cell & Tissue Reference Laboratory

Shift: Business Hours/Weekdays

FLSA: Exempt

Location: San Antonio

Dept.: Cell & Tissue Reference Laboratory

Business Unit: QualTex ‐ SA

General Summary

Provide critical cellular therapy/regenerative medicine assay expertise to advance the development of QualTex Laboratories’ cellular therapy assay portfolio, which includes testing for viability, purity, potency, safety, and cell characterization. Responsible to manage, supervise and coordinate all scientific activities for QualTex Laboratories pertaining to cellular therapy/regenerative medicine product testing, including, new product or service development, validation, implementation, and training of Laboratory personnel on assays and relevant processes.

Commit to and abide by the character of BioBridge Global’s Core Values of Accountability, Stewardship, Pioneer, Integrity, Respect and Excellence (ASPIRE). Support, communicate and reinforce the mission and vision of the enterprise.

Provide world class customer service by capturing and being responsive to the voice of the customer (including donors) through established feedback channels in order to resolve issues and drive satisfaction in accordance with the BBG customer engagement, feedback, and complaint processes.

It is essential that the incumbent have a valid driver's license and be at least 21 years old with a good driving record to meet organization driving standards.

Major Duties and Responsibilities

Essential Tasks

Implementation and continuous improvement of cellular therapy/regenerative medicine product assays, which include, but are not limited to the following test methodologies: multi ‐ color/multi ‐ parameter flow cytometry, PCR, endotoxin, ELISA.

Serve as a leader on projects in a cross ‐ functional team setting and act as a champion for cellular therapy assay product line.

Act as a liaison and forge collaborative relationships with internal and external QualTex clients, staff, suppliers, strategic partners, and regulatory/accreditation agencies.

Provide guidance to team ‐ oriented work projects, and participate in the development and implementation of strategic initiatives.

Independently design, execute, and interpret results for laboratory experiments/validation studies in order to evaluate and/or validate laboratory processes and test methods, which may involve the implementation of highly complex testing machinery or manual testing skills.

Provide knowledge and expertise on relevant scientific principles, which may require authoring SOPs, supporting departmental training/competency assessment activities, participating in audits, and serving as a department liaison, as required.

Maintain adherence and assist with the development of project plans and budgets. Establish operating parameters and quality control limits as required.

Assisting with the resolution of quality improvement investigations/CAPA implementation, equipment malfunctions and other technical problems.

Maintain strict adherence to Standard Operating Procedures SOPs). Prepare and maintain reports/records and perform computer data entry. Performs other duties as assigned.

Non ‐ Essential Tasks

Other duties as required.

Education

Requires a Master’s Degree from an accredited college or university in a specialized area. The required major is Cellular Biology/Cellular Engineering, or a related field.

Prefer a Doctoral Degree (Ph.D. from an accredited college or university.)

Licenses and/or Certifications

Valid United States Driver’s License

US Passport preferred

Related Professional certifications preferred

Experience

Requires five or more years of job specific experience in regenerative medicine/cellular therapy testing, preferably in a cGMP/FDA regulated or clinical laboratory setting.

Requires the following technical skills/experience: aseptic technique, mammalian cell culture, flow cytometry, PCR, ELISA, microscopy.

Knowledge

Must have working knowledge of cell ‐ based therapeutics and/or applied regenerative medicine and relevant product assays.

Must maintain knowledge of and perform according to Standard Operating Procedures (SOPs) and policies. Must maintain familiarity of regulatory/quality compliance, to include FDA, EU, ISO, GHM, cGMP, OSHA, etc.

Must maintain a knowledge of cGMP (current Good Manufacturing Practices), cGTP (current Good Tissue Practices), and CLIA regulations.

Skills

Must have excellent hands ‐ on laboratory skills.

Must demonstrate the ability to solve technical and/or clinical problems with biotechnology ‐ based solutions required.

Must be capable of evaluating, interpreting and reporting accurate/valid test results by current testing methodologies.

Must be capable of operating motor vehicles in all types of weather conditions.

Must have excellent interpersonal and public speaking skills.

Abilities

Must be able to commit to project delivery timelines and budget.

Must be able to keep information confidential.

Must be energetic, enthusiastic and have a team ‐ oriented leadership style.

Must be neat in appearance and well groomed.

Must be professional, detail oriented, self ‐ motivated, innovative, creative, assertive, organized, communicative, and have the ability to work independently.

Must maintain a good working rapport with co ‐ workers.

Working Environment

Works in a well ‐ lighted air conditioned and heated laboratory/department. May be exposed to electrical, mechanical and chemical hazards and other conditions common to a laboratory environment. May be exposed to blood borne pathogens and other conditions common to a clinical laboratory environment. Will work extended hours during peak periods. May be required to work any time of the day, evening or night during the week or weekend, to include being on ‐ call. Ability to use personal motor vehicle for company business required.

Physical Requirements

Must be able to drive on behalf of the organization.

Will sit, stand, walk, and bend during working hours.

Requires manual and finger dexterity and eye ‐ hand coordination.

Required to carry up to 25 lbs. and occasionally lift up to 40 lbs.

Requires normal or corrected vision and hearing corrected to a normal range.

We invest in our people by offering competitive compensation, excellent benefits, and the opportunity to work with the first blood center in America to receive the ISO 9002 accreditation!

All Full Time Positions Qualify for an Affordable and Competitive Benefits Package to include:



Variable Compensation Plan
100% Employer Paid Long-term Disability Plan
Paid Time Off (PTO)
100% Employer Paid AD&D
Extended Illness Benefits (EIB)
100% Employer Paid Employee Assistance Program
Shift Differentials
Group Health Medical Plan w/prescription coverage
Paid Holidays
Variety of Voluntary Supplemental Insurances
Leaves of Absence
Voluntary Dental Coverage
Educational Assistance Program
Voluntary Vision
401k Plan
Competitive salary


QualTex Laboratories, a subsidiary of BioBridge Global, is proud to be an Equal Opportunity Employer committed to providing employment opportunities to minorities, females, veterans, and disabled individuals. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, genetic data, sexual orientation, gender identity, or any other legally protected characteristics. For more information about your EEO rights as an applicant under the law, please click here . QualTex Laboratories maintains a Tobacco & Drug-Free Workplace.",Biotech & Pharmaceuticals,2.2,2020-05-07,2020-06-06,FULL_TIME
"Associate Scientist, Process Development & Manufacturing",BioBridge Global,TX,San Antonio,43286,56254,"Our organization is unique in that we are a nonprofit community resource that saves lives by working with volunteer donors to provide the highest quality blood & tissue components to patients. By using cutting-edge technology, our team of dedicated professionals has helped save hundreds of thousands of lives for more than 35 years. Over 200,000 components of life-saving blood and tissue from volunteers throughout South Texas are collected and tested each year. We are internationally recognized for the quality of our services and research. Donors are essential because patients are in constant need of blood. blood components, and/or tissue. It's about life! Share our excitement and join our team!

GenCure , a subsidiary of BioBridge Global, applies advances in regenerative medicine to help heal patients suffering from trauma, disease or the aging process. Using processed tissue and cell-based therapies, GenCure works to connect needs with solutions. GenCure is both a direct supplier to healthcare providers and a partner with commercial and non-profit organizations providing regenerative medicine treatments to patients.

General Summary

Responsible to provide high level support for GenCure Process Development and Cell Manufacturing including: technology transfer, GMP process and analytical methods development, GMP manufacture and QC testing, interacting with outside vendors and Contract Research and Testing Organizations, as well as helping coordinate laboratory safety programs. Strict attention to detail and high quality customer service skills are required.

Commit to and abide by the character of BioBridge Global’s Core Values of Accountability, Stewardship, Pioneer, Integrity, Respect and Excellence (ASPIRE). Support, communicate and reinforce the mission and vision of the enterprise.

Provide world class customer service by capturing and being responsive to the voice of the customer (including donors) through established feedback channels in order to resolve issues and drive satisfaction in accordance with the BBG customer engagement, feedback, and complaint processes.

It is essential that the incumbent have a valid driver's license and be at least 21 years old with a good driving record to meet organization driving standards.

Major Duties and Responsibilities

Essential Tasks

Work with Cell Manufacturing staff to implement all relevant facility policies and procedures. Provide technical support for technology transfer and GMP process development and analytical test methods development by collaborating with client technical teams. Following approved technology transfer protocols; this person will work with Cell Manufacturing staff to optimize existing research manufacturing process and analytical methods and develop them for clinical ‐ scale GMP purposes. This includes generation of all relevant documentation (Batch Records, Compounding Records, QC Test Methods, Operating Procedures, etc.).

Following FDA GMP regulations and guidelines, this individual will execute clinical ‐ scale GMP manufacturing, in process testing and QC release testing of cell therapy products. This will include the operational scheduling of various activities; including raw materials procurement, development activities, manufacturing events, product testing, facility cleaning and environmental monitoring, calibration, preventative maintenance and validation activities.

Interact with staff in execution of ongoing environmental monitoring program. This includes compilation and analyses of data (total air particulates, air viable counts, viable counts from settling plates and viable counts from contact plates) and generation of written reports.

Interaction with outside raw material vendors and contract testing laboratories. Establish and maintain relationships with technical representatives concerning raw material procurement and GMP production and testing of clinical trial materials.

Author all relevant technical reports detailing process and analytical methods transfer, production and testing of development batches, preclinical safety/toxicology batches and GMP ‐ grade clinical batches.

Support QA and the Quality Management System by assisting in employee training, raw material and product management, document control, validation support, calibration and preventative maintenance support, deviation reporting, CAPA, risk analysis, etc.

Keep abreast of trends in the field by reading professional journals and attending relevant meetings and seminars.

Performs other duties as assigned.

Non ‐ Essential Tasks

Run departmental errands as directed.

Education

Requires a Bachelor’s Degree from an accredited college or university with major course work relative to the field of assignment. The required major is Scientific or Engineering discipline.

Experience

Requires three or more years of microbiology and/or mammalian cell culture experience.

Requires a minimum of one year in cGMP clinical manufacturing and Quality Control testing environment experience.

Requires a strong background in cGMP principles and Quality Management Systems.

Knowledge

Must obtain a working knowledge of regulatory/quality requirements and perform within all Standard Operating Procedures (SOPs) and policies.

Must have a working knowledge and understanding of FDA regulations and current Good Manufacturing Practices (cGMPs).

Skills

Must have excellent critical thinking and problem ‐ solving skills.

Must be capable of correctly interpret process outcomes and perform high level troubleshooting.

Must be capable of operating motor vehicles in all types of weather conditions.

Must have strong computer skills.

Must have excellent written and oral communication skills.

Abilities

Must be a self ‐ starter and self ‐ directed worker.

Must be able to keep information confidential.

Must be able to multi ‐ task in a fast ‐ paced work environment and perform multiple requests simultaneously while maintaining quality and accuracy.

Must be able to work independently as well as in a team environment.

Must be neat in appearance and well groomed.

Must be professional, detail oriented, self ‐ motivated, innovative, creative, assertive, organized, communicative, and have the ability to work independently.

Must have the ability to meet time deadlines, connect and interrelate disparate ideas and thoughts, pay attention to detail, and work effectively with varying constituencies.

Working Environment

Works in a well ‐ lighted air conditioned and heated laboratory/department. May be exposed to electrical, mechanical and chemical hazards and other conditions common to a laboratory environment. May be exposed to blood borne pathogens and other conditions common to a clinical laboratory environment. May have bodily exposure to refrigerator/freezer temperature, especially hands and face. Will work extended hours during peak periods. May be required to work any time of the day, evening or night during the week or weekend.

Physical Requirements

Must be able to drive on behalf of the organization.

Will sit, stand, walk, and bend during working hours.

Requires ability to reach, lift and carry up to 20 lbs.

Requires manual and finger dexterity and eye ‐ hand coordination.

Requires normal or corrected vision and hearing corrected to a normal range.

We invest in our people by offering competitive compensation, excellent benefits, and the opportunity to work with the first blood center in America to receive the ISO 9002 accreditation!

All Full Time Positions Qualify for an Affordable and Competitive Benefits Package to include:



Variable Compensation Plan
100% Employer Paid Long-term Disability Plan
Paid Time Off (PTO)
100% Employer Paid AD&D
Extended Illness Benefits (EIB)
100% Employer Paid Employee Assistance Program
Shift Differentials
Group Health Medical Plan w/prescription coverage
Paid Holidays
Variety of Voluntary Supplemental Insurances
Leaves of Absence
Voluntary Dental Coverage
Educational Assistance Program
Voluntary Vision
Professional Development Plan (PDP)
Competitive salary


GenCure, a subsidiary of BioBridge Global, is proud to be an Equal Opportunity Employer committed to providing employment opportunities to minorities, females, veterans, and disabled individuals. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, genetic data, sexual orientation, gender identity, or any other legally protected characteristics. For more information about your EEO rights as an applicant under the law, please click here . GenCure maintains a Tobacco & Drug-Free Workplace.",Biotech & Pharmaceuticals,2.2,2020-04-25,2020-06-06,FULL_TIME
Data Analyst II,"Insight Enterprises, Inc.",TX,Plano,50099,55348,"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards

Maintain data to meet company standards


Data includes images, technical specifications and other data elementsEnsure automated data feeds successfully populate materialsManually populate non-automated data as necessary via proprietary systemIdentify system enhancements to improve automated processes and quality of informationPerform audits to ensure accuracy of assigned manufacturers or categories


Communicate with providers and manufacturers to ensure complete product data is supplied


Request necessary informationIdentify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories


Implement data standard improvements through manual and automated means to meet needsProvide customer service support for both external and internal customersSupport and validate teammate adherence to master data policies.

Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance

Review automated data feeds for successful materials creation


Ensure materials are created correctly via download processIdentify and communicate reasons for automated failures to improve processManually process download failures
Determine if Sales requests meet Insight Catalog Policy


Review opportunities and determine if it is appropriate business for InsightProvide guidance to address future opportunitiesEnsure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy


Create materials via proprietary systems and/or SAPDetermine appropriate source, costing and categorizationProcess internal requests for creation
Discontinue materials that are no longer available and/or based on company policy

Other projects – Responsible for completing additional projects and assignments as required by the department

All other assigned duties

MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job

Advanced spreadsheet skillsAbility to analyze and troubleshoot information for resolutionAbility to work well in cross-functional teamsAbility to multi-task in a fast-paced environmentAbility to meet aggressive service-level agreementsAbility to take a complex process or technology and create easy-to-follow copyExcellent written and verbal communication, with strong editing skillsKnowledge of AP styleVast knowledge of technical writing and styles associated with itCollaborating with marketing and IT on search engine relevancy as it relates to parts data’s influenceProficiency with MS Word, Excel, Outlook and SAP.Ability to write reports and/or business correspondence.Ability to effectively present information and respond to questions from groups of managers, customers, other employees.Ability to effectively present information to other departments and manufacturer representatives.Ability to read, analyze, and interpret business documents.Ability to effectively communicate via email, phone and in person.Ability to understand processes and identify areas of improvement.Ability to multi-task and demonstrate strong organizational details.
",Information Technology,4.1,2020-05-03,2020-06-06,FULL_TIME
Data Scientist,Health IQ,TX,Dallas,109021,136518,This company is in a hiring surge in response to COVID-19,Insurance,4.1,2020-05-05,2020-06-06,FULL_TIME
"Director, Data Science",United Entertainment Group,TX,Dallas,79409,132138,"Director, Data Science - (200500) Description Edelman Intelligence is seeking a Director-level Data Scientist. The person in this role is will work to help drive our predictive analytics business by building out the Big Data / machine learning / AI capabilities of the Predictive Intelligence capabilities. This person will contribute significantly towards client deliverables, help develop new analytical approaches and offerings, and mentor more junior team members.
Responsibilities:
• Assist in the leadership of day to day project execution, including client deliverables, status updates, and project management

• Efficiently manage data from disparate sources, distilling into datasets prepared for data science

• Execute statistical models to support client projects

• Prepare client facing material (example: PowerPoint slides and charts), distilling analytical insights effectively into stories for clients

• Develop standardized code and processes that can be easily used by the larger team

• Support senior staff in the development of client proposals

• Mentor junior analytics team members and provide training on analytical offerings throughout the organization
 
Qualifications:
• Academic background in data science, including big data, machine learning, and AI

• Comfortable with prepping and visualizing data

• Experience in related programming languages, e.g. Python, Keras, Tensorflow, Pytorch, Scrapy, R, – experience in more than one language is a preferred

• Excellent organizational and communication skills, coupled with the ability to adapt to new conditions, assignments and deadlines

• Knowledge of marketing, market research, and economics
 About Us At Revere, we discover stories and craft them into integrated campaigns. From fresh startups to continual innovators, our enterprise and consumer tech clients share the courage to lead despite disruption and uncertainty. Revere helps clients fight for the future. With a close-knit team whose skills span earned, owned, social, paid media and research, Revere is rooted in communications and always pushing at the edges of marketing and digital experiences. Revere is a DJE Holdings, Inc. company. Find us at revereteam.com, on Twitter and LinkedIn.  Job: Research and AnalyticsPrimary Location: United States-DallasJob Type: ExperiencedSchedule: Full-timeJob Posting: Apr 14, 2020, 2:16:56 PM",Business Services,3.4,2020-05-06,2020-06-06,FULL_TIME
Data Engineer,SciPlay,TX,Austin,68264,85692,"






Austin, Texas 




Apply


Social:Scientific Games, Social is a global leader focused in providing an ever-expanding portfolio of robust iGaming and Social Casino solutions to the global gaming industry. To put it simply - we make Mobile and Facebook games that are fun to play, fun to make, and we're growing like crazy! Scientific Games global reach is made possible by the expertise of our rock star teams and game makers. Want to be part of a fast-paced company that lands in the Top 1% of Social Casino games? See more details below!Scientific Games:Scientific Games (SG) is a global leader focused on delivering an ever-expanding portfolio of lottery and gaming products and services to the world's government-regulated and government-sponsored entities. Scientific Games' global reach is made possible through the expertise, skill and dedicated efforts of its 8,000+ employees who serve lottery and gaming customers in more than 100+ countries on 6 continents.Position SummaryEssential Job Functions:

• Responsible for the availability of all Redshift game data

• Resolves data ingestion issues and is proactive in recommending long-term solutions to prevent future issues

• Works with individual team members and their managers to optimize queries and table schemas to meet demands

• Run SQL explains on queries for query optimization

• Responsible for maintaining documentation on new data sources, intermediate structures, and how best to access data

Education:

• Bachelor’s degree or higher in Computer Science, MIS, or equivalent experience

Required Experience:

• Minimum 2-5 years of experience with Big Data analytics and querying Big Data

• Minimum 1 year of experience with Amazon AWS or similar cloud-based data storage solution

Preferred Experience:

• Experience with Amazon AWS

• Advanced SQL skills, preferably PostgreSQL or HiveQL

• Expert on use and management of Redshift or PostgreSQL tables, schemas, and functions

• Experience with developing, scheduling, and maintaining ETL processes, especially in an AWS environment

• Clear and effective communication of complex ideas and analysis

• Ability to work with little direction, self-directed

• Active learner, motivated to learn without guidance

• Solutions oriented attitude of customer service

• Critical thinking and creative problem solvingQualificationsWe are SciPlay! We make games!

The roots of our company are simple and strong: our founders fell head over heels for casino games and had a vision to create the most entertaining free-to-play casino games for gamers around the world. We’ve grown into a company that makes games we are truly proud of and that are enjoyed by millions of players every day. Our history is extensive, but we’re just getting started. In 1998, we got our start as Phantom EFX and in 2019, we reintroduced ourselves as SciPlay and went public on the Nasdaq.

At SciPlay, we are programmed to think untraditionally. From our yearly development conferences, shindigs, and new game launches, we believe in doing what you love and doing it well. We take great pride in our ability to create authentic experiences for players and we are excited to continue investing in our workforce, technology, and our data-driven approach, all with the mission of delighting our players long into the future. We believe that if we continue to stay passionate, set ambitious goals, live our values and play together, we will become the #1 social casino and casual gaming company in the world.

A few of our highlighted perks and benefits:

Competitive salaries and annual bonuses alongside matching 401k, employee stock options, and other competitive benefits.Strong commitment to work life balanceFully stocked kitchenFully stocked gameroom featuring current generation consoles and titles, shuffle board tables, foosball tables, and arcade cabinets (including our prized 5v5 cabinet ultra-rare copy of Killer Queen!)Brand new, shiny, and aesthetically pleasing 10,000 sq ft office located in the Arboretum area in Austin

SciPlay Corporation and its affiliates (collectively, SciPlay) are committed to creating a workforce of credibility and dependability. As a prerequisite to employment with SciPlay (to the extent permitted by law), you shall be asked to consent to SciPlay conducting a due diligence/background investigation on you. This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above. SciPlay is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.

Scientific Games Corporation and its affiliates (collectively, “SG”) are engaged in highly regulated gaming and lottery businesses. As a result, certain SG employees may, among other things, be required to obtain a gaming or other license(s), undergo background investigations or security checks, or meet certain standards dictated by law, regulation or contracts. In order to ensure SG complies with its regulatory and contractual commitments, as a condition to hiring and continuing to employ its employees, SG requires all of its employees to meet those requirements that are necessary to fulfill their individual roles. As a prerequisite to employment with SG (to the extent permitted by law), you shall be asked to consent to SG conducting a due diligence/background investigation on you.

This job description should not be interpreted as all-inclusive; it is intended to identify major responsibilities and requirements of the job. The employee in this position may be requested to perform other job-related tasks and responsibilities than those stated above.

SG is an Equal Opportunity Employer and does not discriminate against applicants due to race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. If you’d like more information about your equal employment opportunity rights as an applicant under the law, please click here EEOC Poster.



Apply
",Media,4.0,2020-05-01,2020-06-06,FULL_TIME
"Predictive Data Analyst, Fundraising",Publishing Concepts,TX,Dallas,33844,63544,"The Predictive Data Analyst assists in managing our clients data for increasing memberships and donations as part of other projects. It involves working with our technology team in preparing data before a project starts, consulting with the client and account management team to ensure all client data is ready to begin a project. The Data Analyst uses Access to analyze and prepare the client's data.

Essential Skills

Meet monthly goals and deadlinesInteract with clients using excellent written and verbal communication skillsIntermediate to advanced proficiency in Microsoft AccessProficient in the use of MS Office, specifically Access and SQLUtilize internal tools and methods of communication (Fogbugz)Partner with other departments, assisting technology, account management, sales and client services to meet client requirements and contractual obligations and research and resolve client inquiriesIdentify and implement process improvements to maximize efficiencies.Manages the quality, integrity and validity of the asset data.Maintains and reconciles manageable file system of participant records that is easily accessible.

Minimum Requirements

MUST have 2+ years of business analysis experience MUST have experience using Access and Excel MUST have a 4-year degree from an accredited college or university Data Migration Experience is preferred SQL experience is preferred Working knowledge of LEAN principle is preferred

Skills And Abilities

Gets things done by practicing excellent prioritization and making good decisions on where to focus attention. Ability to prioritize tasks, work effectively under time constraints, meet short deadlines. Writes clear, precise, well-organized documents Should be able to build relationships with internal and external customers. Copes effectively with complexity and change. Handles ambiguity and uncertainty well. Consistent logic, rationality & objectivity in decision-making. Ability to effectively plan, organize and control the work process. Ability to coordinate multiple priorities and produce accurate work despite frequent interruptions.

Voted #1 Best Places to work in Arkansas and #2 Virginia

Voted Best Companies to work in Texas

About Publishing Concepts, LP (PCI): We are a Dallas-based company that partners with colleges, universities, fraternities, sororities, public and private high schools, associations and service organizations of all sorts to engage their alumni and members. We collect data and stories, publish alumni and membership directories, produce oral history projects, implement fundraising programs, and share alumni and member stories across their respective communities. Today PCI produces alumni directories for schools such as Harvard, Spelman, Texas A&M, and Georgetown. We also provide services to organizations such as Peace Corps, Shriners International, and Vietnam Veterans of America.

Our Benefits:

Medical, dental, vision, tuition reimbursement, life insurance, PTO, Wellness and 401k Teladoc support on Day 1!Vacation, sick, personal, holiday pay time off and sabbaticalsPaid training with the opportunity to earn commission

Our notthebigcompany Values:

Pursue EXCELLENCE (Purposefully!)Unlock HUMAN POTENTIALAct with INTEGRITYInnovate a CULTURE of Relationship and FunLead with a SERVANTS HEART

Learn more about PCI: http://notthebigcompany.com/

PCI is firmly committed to the principle of equal employment opportunity. PCI offers employment opportunities without regard to race, color, sex, age, religion, national origin, disability, U.S. military and or other prohibited bases of discrimination, both state and local. All aspects of the employment relationship (including recruiting, hiring, training, working conditions, compensation, promotion, discipline, and termination) are subject to this policy. Candidates must pass pre-employment background check and drug screens.

***We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas***

Powered by JazzHR",Media,3.1,2020-05-05,2020-06-06,FULL_TIME
