Job_title,Company,State,City,Min_Salary,Max_Salary,Job_Desc,Industry,Rating,Date_Posted,Valid_until,Job_Type
Data Scientist,ManTech,VA,Chantilly,108486,145165,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-04-30,2020-06-06,FULL_TIME
Data Scientist,GEICO,MD,Chevy Chase,69285,113337,"GEICO’s Data Science team uses predictive analytics and innovative machine learning models to create value from data. We solve problems across GEICO, from Marketing to Claims and Underwriting, and are responsible for developing and driving strategic modeling initiatives. We see our projects through the entire data science lifecycle, from problem definition to data exploration, data munging, modeling, analysis, and deployment into production systems. We maintain a close partnership with IT to ensure that our models can be deployed quickly and monitored in a flexible deployment framework.

As a Data Scientist, you will be a member of this diverse and highly skilled team. On any given day, you may be exploring new data sets with a business or IT partner, learning the intricacies of a business process, building models, or coordinating the productionalization of a model. You will use a variety of tools (including SQL, Python, R, Spark, and shell scripting) in a variety of environments (including various databases, Linux servers, and Hadoop). You’ll work in a highly collaborative, team environment where you will quickly develop wide ranging exposure to new methods and best practices for conducting data science in a commercial environment.

Expected Qualifications:


Bachelor’s degree in a quantitative discipline, such as statistics, data science, computer science, mathematics, engineering, physics, etc. Advanced degree strongly preferred
2 years of combined academic/industry experience with predictive modeling, machine learning, advanced analytics
Solid understanding and experience with advanced statistics and modern machine learning predictive techniques such as GLMs, decision trees, forests, boosted ensembles, neural networks, deep learning, etc.
Strong coding skills using common data science tools, such as Python (strongly preferred), R, Linux/Unix command line and shell scripting, etc.
Strong skills in data processing using SQL, Hive, Impala, Spark, or equivalent querying language
Familiarity with distributed storage and big data computing technology (AWS, Hadoop, Spark, etc.)
Excellent communication skills
Passion for extracting hidden insights and building machine learning systems that enhance business outcomes

 About GEICO
For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.
Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:

401(k) and profit-sharing plans Medical, dental, vision and life insurance Paid vacation, holidays and leave programs Tuition reimbursement Associate assistance program Flexible spending accounts Business casual dress Fitness and dining facilities (at most locations) Associate clubs and sports teams Volunteer opportunities GEICO Federal Credit Union 
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply
Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.#LI-JW1",Insurance,3.3,2020-05-02,2020-06-06,FULL_TIME
Data Scientist,Tecolote Research,DC,Washington,74791,102528," 
Data Scientist
 
 Location: Washington, DC  
 Education Required: Bachelor’s degree required, preferably in math, engineering, business, or the sciences.  
 Skills Required:



Bachelor’s Degree in relevant field, e.g., math, data analysis, database, computer science, Artificial Intelligence (AI); three years’ experience credit for Master’s degree; five years’ experience credit for a Ph.D
Applicant should be proficient in the use of Power BI, Tableau, Python, MATLAB, Microsoft Word, PowerPoint, Excel, and working knowledge of MS Access, LMS, SAS, data visualization tools, and have a strong algorithmic aptitude
Excellent verbal and written communication skills, and quantitative analytical skills are required
Applicant must be able to work in a team environment
U.S. citizenship and ability to obtain a DoD Secret Clearance required


 
 Responsibilities: The applicant will be responsible for formulating analytical solutions to complex data problems; creating data analytic models to improve data metrics; analyzing customer behavior and trends; delivering insights to stakeholders, as well as designing and crafting reports, dashboards, models, and algorithms to make data insights actionable; selecting features, building and optimizing classifiers using machine learning techniques; data mining using state-of-the-art methods, extending organization’s data with third party sources of information when needed; enhancing data collection procedures to include information that is relevant for building analytic systems; processing, cleansing, and verifying the integrity of data used for analysis; doing ad-hoc analysis and presenting results in a clear manner; and creating automated anomaly detection systems and constant tracking of its performance.  
 Benefits: 

We offer competitive salaries commensurate with education and experience. We have an excellent benefits package that includes:

Comprehensive health, dental, life, long and short term disability insurance
100% Company funded Retirement Plans
Generous vacation, holiday and sick pay plans
Tuition assistance



Benefits are provided to employees regularly working a minimum of 30 hours per week.

Tecolote Research is a private, employee-owned corporation where people are our primary resource. Our investments in technology and training give our employees the tools to ensure our clients are provided the solutions they need, and our very high employee retention rate and stable workforce is an added value to our customers. Apply now to connect with a company that invests in you.
  
  ",Aerospace & Defense,4.0,2020-05-01,2020-06-06,FULL_TIME
Data Scientist,Systems &amp;amp; Technology Research,VA,Arlington,94721,115685,"STR is a government research contractor specializing in advanced research and development for defense, intelligence, and homeland security applications. We pride ourselves in developing cutting-edge technologies with significant and immediate impact on our national security. Our product is our staff; we prioritize cultivating a team of driven and talented scientists and engineers that together culminate into a premier company.

Every Analyst a Scientist - One of our primary goals is to empower intelligence analysts to be able to study their data like scientists. The tools we develop focus on streamlining intelligence analysis through integrated algorithms and software that provide insight into the geopolitical landscape for use in operational intelligence missions around the world.

The Role:

As a Data Scientist, you will live by our motto that “Data is Destiny.” You will work with a diverse collection of massive datasets, including social media, structured and unstructured text, geospatial, time series, and imagery data. You will design, test, and validate statistical tests and machine learning models in support of cutting-edge problems in the national security space. Your expertise as a data scientist will aid a diverse team of researchers to build state-of-the-art tools and technologies that are deployed to extract and enrich intelligence used by analysts. If you would like to help intelligence and defense analysis keep pace with modern machine learning and software techniques, then this role is for you!

Who you are:

A degree in a scientific field such as Statistics, Mathematics, or Computer Science Experience in statistical modeling including performance evaluation and uncertainty quantification Proficiency with a scientific programming language, preferably Python, and familiarity with Numpy, Pandas, and/or Scikit-learn packages Experience in grooming sparse, incomplete, and noisy datasets Motivated collaborator and an excellent communicator of ideas to both technical and non-technical audiences US citizen and willing to obtain a U.S. Security Clearance

Even better:

MS or PhD in a scientific field such as Statistics, Mathematics, Computer Science, or Data Science or 2+ years of relevant work experience Familiarity with handling and analyzing data at scale, for example using Hadoop, Dask, Spark, and MapReduce Working knowledge of data store tools such as SQL and Elasticsearch, and experience interacting with databases Experience with deep learning and neural network training, testing, and evaluation with fluency in Tensorflow or PyTorch Specialized expertise in a data-rich field such as time-series analysis, graph analytics, geospatial analysis, image processing, or Bayesian programming Active U.S. Security Clearance

Compensation:

Competitive salary Comprehensive benefits (Medical, Dental, Vision, Disability, Life) 401k company match Competitive and flexible paid time off Continued higher education reimbursement Profit sharing (Additional match to 401k) Phone reimbursement plan And more!

STR is dedicated to fostering a diverse and inclusive workforce where all employees, regardless of race, ethnicity, gender, neurodiversity, or other personal characteristics, feel valued, included, and empowered to achieve their best. We recognize that each employee’s backgrounds, experiences, and perspectives are essential for providing our customers with innovative solutions to challenging national security problems. STR’s commitment to attracting, retaining, and engaging talented and diverse professionals is demonstrated by our participation, sponsorship, and support in local and national minority organizations.

Applicants must be US Citizens.",Aerospace & Defense,4.7,2020-04-25,2020-06-06,FULL_TIME
Chief Data Scientist,ManTech,VA,Alexandria,-1,-1,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-05-06,2020-06-06,FULL_TIME
Data Scientist,Booz Allen Hamilton Inc.,MD,Annapolis Junction,76575,116705,"Job Number: R0077556

Data ScientistThe Challenge:

Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors from fraud detection to cancer research, to national intelligence you know the answers are in the data.

We have an opportunity for you to use your leadership and analytical skills to improve national security missions. Youll work closely with your customer to understand their questions and needs, then dig into their data-rich environment to find the pieces of their information puzzle. Youll explore data from various sources, discover patterns and previously hidden insights to address business problems, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help senior leadership make informed decisions. Youll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in national security.

Empower change with us.

You Have:

-Experience with using data science tools

-Experience with performing behavioral analysis and anomaly detection on data sets, including identifying true vs. false and positives vs. negatives

-Experience with Netflow

-Experience with using Python to perform data analysis, mining, and data visualization

-Experience with the transition of a research capability to an operational product

-Ability to author complex documents describing and visualizing analytical results

-TS/SCI clearance with a polygraph

-BA or BS degree in Science, Technology, Engineering, or Mathematics and 2+ years of experience in a professional work environment

Nice If You Have:

-Experience with SIGINT or cybersecurity operations

-Ability to work both independently and as a team member

-Possession of excellent analytical, data mining, and problem-solving skills

-Possession of excellent oral and written communication skills

-MS degree in Mathematics, Data Science, Statistics, or CS a plus

Clearance:

Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.

Build Your Career:

At Booz Allen, we know the power of analytics, and were dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect:

access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunka chance to change the world with the Data Science Bowlthe worlds premier data science for social good competitionparticipation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government

Youll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. Well help you develop the career you want, as you chart your own course for success.

Were an EOE that empowers our peopleno matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristicto fearlessly drive change.#LI-AH1, APC1, APC3, CJ1, CMD",Business Services,3.7,2020-05-01,2020-06-06,FULL_TIME
Data Scientist,Novetta,MD,Annapolis Junction,98457,117062,"Join our team dedicated to developing and executing innovative solutions in support of customer mission success.

Job Description:

As a Data Scientist you'll use your skills model and analyze a variety of data in support of analytical questions. Successful candidates in this role will be able to use theirs statistical and mathematical backgrounds to solve complex problems for not only analytical questions but also problems of large scale data. With huge volumes of data at your disposal, you'll be asked to find the most important items in a sea of information. A strong candidate is someone with a desire for continual learning and strong problem-solving, analytic and interpersonal skills who communicate and collaborate effectively.

Basic Qualifications:

Data Normalization
Data Visualization
Statistical Analysis
Graph Theory
Bachelor's degree required

Desired Skills:

Experience with writing, compiling, and debugging a variety of programming languages
Containerization
Jupyter
Spark
Cloud Analytics
Special consideration given for the following skills:

Machine Learning
High Powered Computing
Any of a number of active Cyber Certifications including but not limited to: GPEN, GXPN, GCFE, GCFA, and OSCP.
C++
Experience with intelligence analysis skills (e.g., traffic analysis) mixed with detailed knowledge of network architectures, protocols, and communications.
SIGINT experience



Security Clearance Requirements:

Active TS/SCI with favorable polygraph

Level 1:

Minimum one years' experience or a Bachelor's Degree or participating in a program that will lead to a Bachelor's Degree in an appropriate Computer Science or related field.

Level 2:

Minimum five years' experience with in-depth demonstrated experience in Computer Science or related field.

Level 3:

Minimum 10 years' experience with in-depth demonstrated experience in Computer Science or related field.



Novetta, from complexity to clarity.

Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.



Our culture is shaped by a commitment to our core values:

Integrity • We hold ourselves accountable to the highest standards of integrity and ethics.

Customer Success • We strive daily to exceed expectations and achieve customer mission success.

Employee Focus • We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.

Innovation • We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.

Excellence in Execution • We take pride in flawless execution as we build a company that is best in class.



Earn a REFERRAL BONUS for the qualified people you know. 
For more details or to submit a referral, visit bit.ly/NovettaReferrals.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",Information Technology,4.1,2020-05-05,2020-06-06,FULL_TIME
Data Engineer,ManTech,VA,Herndon,107971,114861,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-05-01,2020-06-06,FULL_TIME
Streaming Data Engineer,GetWellNetwork,MD,Bethesda,93193,104508,"OPPORTUNITIES:

GetWellNetwork is searching for a Data Engineer with 4+ years of experience in implementing modern data architectures and 2+ years of a Data Streaming. We are building a net new data streaming platform to unify and govern reporting and data access across the 4 product lines. Our products currently service 10M patients visits annually with deep integration into backend medical systems. Think 30-1800 data points per medical encounter. While our primary business is domestic, we are rapidly growing in Europe, Canada, the Middle East, and Australia - each with their own cloud and unique governance needs.

This role can be based remotely.

WHAT WE NEED YOU TO DO:

Partner on the design the next implementation of our secure, global data architecture
Own medium-to-large size data engineering projects
Mentor junior staff by providing opportunities to execute on your engineering agenda
Partner on setting standards and create documentation for self-serve data pipeline services supporting core engineering and professional services use cases.
Work with existing product engineering teams to become data producers
Work with business intelligence engineers, analysts and Data Scientists to design and automate smart reports

WHAT WE ARE LOOKING FOR:

4+ years of experience in a Data Engineering role, with a focus on data warehouse technologies, data pipelines, BI tooling and/or data apps development
Strong experience with event streaming such as (Kafka or Amazon Kinesis)
Desire to show ownership of problems you identify and proven ability to empower others to get more done
Proficient in Python or JAVA and SQL
Proficient with tuning and optimizing data models and pipelines
Experience in developing data apps with Python, Javascript, high charts etc
The ability to communicate cross-functionally, derive requirements and architect shared datasets; ability to synthesize, simplify and explain complex problems to different types of audiences, including executives

WHAT GIVES YOU AN EDGE:

Experience with Confluent Kafka
Experience with enterprise apps data: Salesforce, Marketo, Zendesk, etc
Experience in developing data apps with Python, Javascript, high charts, etc
Scala, Clojure, R
IOT streaming
Previous work with protected or classified data

ABOUT GETWELLNETWORK:

GetWellNetwork® is the Precision Engagement™ healthcare company. Our solutions engage patients and families, empower clinicians and deliver outcomes that matter. From inpatient to outpatient, to physician practices and urgent care clinics, to patients on the go, GetWellNetwork offers the only cross-continuum platform that performs across every care setting.

With more than 300+ employees across the U.S., GetWellNetwork is dedicated to changing the lives of millions of patients and families every year. If you're passionate about working in a high-growth, dynamic and innovative environment that is changing an industry, then we want to hear from you!

GetWellNetwork is an Equal Opportunity Employer. Check out our employer reviews on Glassdoor.com!Required Skills

Required Experience

Job Location

Remote,
",Health Care,4.7,2020-04-24,2020-06-06,FULL_TIME
Senior Data Scientist,ManTech,VA,Alexandria,152636,165075,This company is in a hiring surge in response to COVID-19,Business Services,4.1,2020-05-06,2020-06-06,FULL_TIME
